ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,tags,notes
2021-04-01T21:59:59-04:00,"Wednesday, Mar 31, 2021","Thursday, Apr 1, 2021",2021-04-01 12:15:00,2021-04-01 19:26:00,07:11:00,00:05:00,00:00:00,1,07:06:00,07:06:00,98.8,98.8,05:32:47,05:32:47,04:28:13,04:28:13,45.7,45.7,66.9,67.3,53.0,53.0,112,112,55,98,,,,,,,,
2021-04-02T21:59:59-04:00,"Thursday, Apr 1, 2021","Friday, Apr 2, 2021",2021-04-02 12:45:00,2021-04-02 20:15:00,07:30:00,00:00:00,00:00:00,1,07:30:00,07:18:00,100.0,99.4,05:56:02,05:44:24,04:15:00,04:21:36,46.8,46.3,62.1,65.6,46.0,49.5,153,132,61,82,,,,,,,,
2021-04-03T21:59:59-04:00,"Friday, Apr 2, 2021","Saturday, Apr 3, 2021",2021-04-03 11:04:23,2021-04-03 19:54:00,08:49:36,00:22:36,00:11:37,1,08:27:00,07:41:00,95.7,98.2,07:24:53,06:17:54,03:50:27,04:11:13,45.7,46.1,58.9,63.9,45.0,48.0,130,131,76,85,,,,,,,,
2021-04-04T21:59:59-04:00,"Saturday, Apr 3, 2021","Sunday, Apr 4, 2021",2021-04-04 12:08:15,2021-04-04 22:04:00,09:55:44,00:03:44,00:03:45,1,09:52:00,08:13:45,99.4,98.5,08:44:39,06:54:35,05:03:35,04:24:18,45.5,45.9,63.3,63.8,46.0,47.5,86,120,58,76,,,,,,,,
2021-04-05T21:59:59-04:00,"Sunday, Apr 4, 2021","Monday, Apr 5, 2021",2021-04-05 11:18:41,2021-04-05 18:54:00,07:35:18,01:09:18,00:49:19,1,06:26:00,07:52:12,84.8,95.7,06:03:48,06:44:26,04:17:20,04:22:55,45.6,45.9,61.3,63.4,43.0,46.6,76,111,59,65,,,,,,,,
2021-04-06T21:59:59-04:00,"Monday, Apr 5, 2021","Tuesday, Apr 6, 2021",2021-04-06 11:02:44,2021-04-06 18:13:00,07:10:15,01:07:15,00:44:15,1,06:03:00,07:34:00,84.4,93.8,04:46:27,06:24:46,02:06:16,04:00:08,45.0,45.7,69.2,64.2,44.0,46.2,203,126,80,65,,,,,,,,
2021-04-07T21:59:59-04:00,"Tuesday, Apr 6, 2021","Wednesday, Apr 7, 2021",2021-04-07 12:03:41,2021-04-07 18:28:00,06:24:18,00:27:18,00:27:19,1,05:57:00,07:20:08,92.9,93.7,04:56:29,06:12:09,02:43:38,03:49:12,45.7,45.7,75.5,65.3,44.0,45.9,110,124,59,64,,,,,,,,
2021-04-08T21:59:59-04:00,"Wednesday, Apr 7, 2021","Thursday, Apr 8, 2021",2021-04-08 12:05:12,2021-04-08 20:13:00,08:07:47,00:38:47,00:24:47,1,07:29:00,07:23:25,92.0,92.7,06:01:24,06:16:15,02:34:50,03:33:00,48.0,46.0,79.4,67.1,46.0,44.9,117,125,61,65,,,,,,,,
2021-04-09T21:59:59-04:00,"Thursday, Apr 8, 2021","Friday, Apr 9, 2021",2021-04-09 11:28:51,2021-04-09 18:30:00,07:01:08,00:30:08,00:30:08,1,06:31:00,07:15:00,92.8,91.7,04:36:20,06:04:51,02:15:21,03:15:55,49.4,46.4,,,47.0,45.0,149,124,65,66,,,,,,,,
2021-04-11T21:59:59-04:00,"Saturday, Apr 10, 2021","Sunday, Apr 11, 2021",2021-04-11 11:59:33,2021-04-11 20:33:00,08:33:26,00:51:26,00:30:26,1,07:42:00,07:08:34,90.0,90.9,05:22:01,05:47:18,02:23:23,03:03:29,47.0,46.6,70.8,71.6,46.0,45.1,147,127,74,65,,,,,,,,
2021-04-12T21:59:59-04:00,"Sunday, Apr 11, 2021","Monday, Apr 12, 2021",2021-04-12 12:10:17,2021-04-12 21:15:00,09:04:42,03:19:42,00:35:43,1,05:45:00,06:33:17,63.3,85.7,04:19:09,05:09:23,01:18:25,02:31:19,50.2,47.3,66.2,72.0,47.0,45.3,75,125,68,67,,,,,,,,
2021-04-13T21:59:59-04:00,"Monday, Apr 12, 2021","Tuesday, Apr 13, 2021",2021-04-13 11:37:41,2021-04-13 19:00:00,07:22:18,01:37:18,01:36:19,1,05:45:00,06:27:25,78.0,84.8,04:37:31,04:57:03,02:45:00,02:18:07,45.8,47.3,66.2,72.8,45.0,45.6,82,126,66,68,,,,,,,,
2021-04-14T21:59:59-04:00,"Tuesday, Apr 13, 2021","Wednesday, Apr 14, 2021",2021-04-14 01:45:00,2021-04-14 02:00:00,06:57:29,00:57:29,00:00:00,2,06:00:00,06:27:00,100.0,87.0,04:15:48,04:52:40,01:34:05,02:13:31,51.3,48.2,67.0,72.4,49.0,46.3,110,113,110,72,,,,,,,,
2021-04-15T21:59:59-04:00,"Wednesday, Apr 14, 2021","Thursday, Apr 15, 2021",2021-04-15 12:03:05,2021-04-15 19:01:00,06:57:54,00:26:54,00:26:54,1,06:31:00,06:31:51,93.6,87.1,04:41:37,04:50:33,01:30:14,02:03:02,47.4,48.4,85.1,73.8,49.0,47.0,158,120,63,73,,,,,,,,
2021-04-16T21:59:59-04:00,"Thursday, Apr 15, 2021","Friday, Apr 16, 2021",2021-04-16 11:55:23,2021-04-16 19:00:00,07:04:36,00:42:36,00:39:36,1,06:22:00,06:22:17,90.0,86.8,05:22:46,04:45:02,02:23:15,02:01:23,45.0,48.0,77.3,73.5,44.0,46.7,132,122,74,74,,,,,,,,
2021-04-17T21:59:59-04:00,"Friday, Apr 16, 2021","Saturday, Apr 17, 2021",2021-04-17 14:07:00,2021-04-17 19:50:00,05:43:00,00:20:00,00:00:00,1,05:23:00,06:12:34,94.2,87.0,04:40:37,04:45:38,02:18:26,02:01:49,48.4,47.9,77.3,72.9,48.0,46.9,109,116,63,74,,,,,,,,
2021-04-18T21:59:59-04:00,"Saturday, Apr 17, 2021","Sunday, Apr 18, 2021",2021-04-18 01:55:00,2021-04-18 03:15:00,09:15:15,01:00:15,00:00:00,2,08:15:00,06:17:17,100.0,88.4,07:10:20,05:01:07,04:07:11,02:16:39,52.3,48.6,66.0,72.2,51.0,47.6,69,105,69,73,,,,,,,,
2021-04-19T21:59:59-04:00,"Sunday, Apr 18, 2021","Monday, Apr 19, 2021",2021-04-19 12:13:12,2021-04-19 20:13:00,07:59:47,00:31:47,00:16:48,1,07:28:00,06:32:00,93.4,92.7,06:05:06,05:16:15,03:12:00,02:32:53,48.1,48.3,69.7,72.7,47.0,47.6,136,114,85,76,,,,,,,,
2021-04-20T21:59:59-04:00,"Monday, Apr 19, 2021","Tuesday, Apr 20, 2021",2021-04-20 12:59:33,2021-04-20 19:45:00,06:45:26,00:54:26,00:17:27,1,05:51:00,06:32:51,86.6,93.9,05:07:09,05:20:29,02:23:35,02:29:49,47.2,48.5,79.9,74.6,48.0,48.0,251,138,79,78,,,,,,,,
2021-04-21T21:59:59-04:00,"Tuesday, Apr 20, 2021","Wednesday, Apr 21, 2021",2021-04-21 12:38:13,2021-04-21 18:58:00,06:19:46,00:21:46,00:21:46,1,05:58:00,06:32:34,94.3,93.1,04:30:43,05:22:37,01:29:30,02:29:10,50.2,48.4,72.8,75.4,48.0,47.9,69,132,56,70,,,,,,,,
2021-04-22T21:59:59-04:00,"Wednesday, Apr 21, 2021","Thursday, Apr 22, 2021",2021-04-22 13:02:10,2021-04-22 21:15:00,08:12:49,01:10:49,00:13:50,1,07:02:00,06:37:00,85.6,92.0,05:51:58,05:32:40,02:30:43,02:37:48,47.5,48.4,98.1,77.3,52.0,48.3,110,125,66,70,,,,,,,,
2021-04-23T21:59:59-04:00,"Thursday, Apr 22, 2021","Friday, Apr 23, 2021",2021-04-23 13:17:46,2021-04-23 20:52:00,07:34:13,01:04:13,00:27:13,1,06:30:00,06:38:08,85.9,91.4,04:50:26,05:28:03,01:45:00,02:32:20,51.6,49.3,98.1,80.2,52.0,49.4,77,117,53,67,,,,,,,,
2021-04-24T21:59:59-04:00,"Friday, Apr 23, 2021","Saturday, Apr 24, 2021",2021-04-24 01:20:00,2021-04-24 01:56:00,08:22:16,00:25:16,00:00:00,2,07:57:00,07:00:08,100.0,92.2,07:14:20,05:50:00,04:24:40,02:50:22,58.3,50.8,72.3,79.5,54.0,50.3,70,112,70,68,,,,,,,,
